Link,URL,Title
Promela,/wiki/Promela,Promela
PROSE modeling language,/wiki/PROSE_modeling_language,PROSE modeling language
PROTEL,/wiki/Protel,Protel
ProvideX,/wiki/ProvideX,ProvideX
Pro*C,/wiki/Pro*C,Pro*C
Pure,/wiki/Pure_(programming_language),Pure (programming language)
Pure Data,/wiki/Pure_Data,Pure Data
PureScript,/wiki/PureScript,PureScript
PWCT,/wiki/PWCT,PWCT
Python,/wiki/Python_(programming_language),Python (programming language)
Q (programming language from Kx Systems),/wiki/Q_(programming_language_from_Kx_Systems),Q (programming language from Kx Systems)
Q# (Microsoft programming language),/wiki/Q_Sharp,Q Sharp
Qalb,/wiki/Qalb_(programming_language),Qalb (programming language)
Quantum Computation Language,/wiki/Quantum_Computation_Language,Quantum Computation Language
QtScript,/wiki/QtScript,QtScript
QuakeC,/wiki/QuakeC,QuakeC
QPL,/wiki/Quantum_programming,Quantum programming
.QL,/wiki/.QL,.QL
R++,/wiki/R%2B%2B,R++
Racket,/wiki/Racket_(programming_language),Racket (programming language)
Raku,/wiki/Raku_(programming_language),Raku (programming language)
RAPID,/wiki/RAPID,RAPID
Rapira,/wiki/Rapira,Rapira
Ratfiv,/wiki/Ratfiv,Ratfiv
Ratfor,/wiki/Ratfor,Ratfor
Reason,/wiki/Reason_(programming_language),Reason (programming language)
REBOL,/wiki/REBOL,REBOL
Red,/wiki/Red_(programming_language),Red (programming language)
Redcode,/wiki/Core_War,Core War
REFAL,/wiki/REFAL,REFAL
REXX,/wiki/REXX,REXX
Ring,/wiki/Ring_(programming_language),Ring (programming language)
ROOP,/wiki/ROOP_(programming_language),ROOP (programming language)
RPG,/wiki/IBM_RPG,IBM RPG
RPL,/wiki/RPL_(programming_language),RPL (programming language)
RSL,/wiki/Robot_Battle#Robot_scripting_language,Robot Battle
RTL/2,/wiki/RTL/2,RTL/2
Ruby,/wiki/Ruby_(programming_language),Ruby (programming language)
Rust,/wiki/Rust_(programming_language),Rust (programming language)
S-Lang,/wiki/S-Lang_(programming_language),S-Lang (programming language)
S-PLUS,/wiki/S-PLUS,S-PLUS
SA-C,/wiki/SA-C_(programming_language),SA-C (programming language)
SabreTalk,/wiki/SabreTalk,SabreTalk
SAIL,/wiki/SAIL_(programming_language),SAIL (programming language)
SAKO,/wiki/SAKO_(programming_language),SAKO (programming language)
SAS,/wiki/SAS_System,SAS System
SASL,/wiki/SASL_(programming_language),SASL (programming language)
Sather,/wiki/Sather,Sather
Sawzall,/wiki/Sawzall_(programming_language),Sawzall (programming language)
Scala,/wiki/Scala_(programming_language),Scala (programming language)
Scheme,/wiki/Scheme_(programming_language),Scheme (programming language)
Scilab,/wiki/Scilab,Scilab
Scratch,/wiki/Scratch_(programming_language),Scratch (programming language)
Script.NET,/wiki/Script.NET,Script.NET
Sed,/wiki/Sed,Sed
Seed7,/wiki/Seed7,Seed7
Self,/wiki/Self_(programming_language),Self (programming language)
SenseTalk,/wiki/SenseTalk,SenseTalk
SequenceL,/wiki/SequenceL,SequenceL
Serpent,/wiki/Ethereum#Programming_languages,Ethereum
SETL,/wiki/SETL,SETL
Short Code,/wiki/Short_Code_(computer_language),Short Code (computer language)
SIMPOL,/wiki/Superbase_database#History,Superbase database
SIGNAL,/wiki/SIGNAL_(programming_language),SIGNAL (programming language)
SiMPLE,/wiki/SiMPLE,SiMPLE
SIMSCRIPT,/wiki/SIMSCRIPT,SIMSCRIPT
Simula,/wiki/Simula,Simula
Simulink,/wiki/Simulink,Simulink
SISAL,/wiki/SISAL,SISAL
SKILL,/wiki/SKILL,SKILL
SLIP,/wiki/SLIP_(programming_language),SLIP (programming language)
SMALL,/wiki/SMALL,SMALL
Smalltalk,/wiki/Smalltalk,Smalltalk
SML,/wiki/Standard_ML,Standard ML
Strongtalk,/wiki/Strongtalk,Strongtalk
Snap!,/wiki/Snap!_(programming_language),Snap! (programming language)
SNOBOL,/wiki/SNOBOL,SNOBOL
SPITBOL,/wiki/SPITBOL_compiler,SPITBOL compiler
Snowball,/wiki/Snowball_programming_language,Snowball programming language
SOL,/wiki/Secure_Operations_Language,Secure Operations Language
Solidity,/wiki/Solidity,Solidity
SOPHAEROS,/wiki/SOPHAEROS,SOPHAEROS
Source,/wiki/Source_(programming_language),Source (programming language)
SPARK,/wiki/SPARK_(programming_language),SPARK (programming language)
Speakeasy,/wiki/Speakeasy_(computational_environment),Speakeasy (computational environment)
Speedcode,/wiki/Speedcoding,Speedcoding
SPIN,/wiki/Parallax_Propeller,Parallax Propeller
SP/k,/wiki/SP/k,SP/k
SPS,/wiki/IBM_1401_Symbolic_Programming_System,IBM 1401 Symbolic Programming System
SQL,/wiki/SQL,SQL
SQR,/wiki/SQR,SQR
Squeak,/wiki/Squeak,Squeak
Squirrel,/wiki/Squirrel_(programming_language),Squirrel (programming language)
S/SL,/wiki/S/SL_programming_language,S/SL programming language
Starlogo,/wiki/Starlogo,Starlogo
Strand,/wiki/Strand_(programming_language),Strand (programming language)
Stata,/wiki/Stata,Stata
Stateflow,/wiki/Stateflow,Stateflow
Subtext,/wiki/Subtext_(programming_language),Subtext (programming language)
SBL,/wiki/Superbase_database,Superbase database
SuperCollider,/wiki/SuperCollider,SuperCollider
Superplan,/wiki/Superplan,Superplan
SuperTalk,/wiki/SuperTalk,SuperTalk
Swift (Apple programming language),/wiki/Swift_(programming_language),Swift (programming language)
Swift (parallel scripting language),/wiki/Swift_(parallel_scripting_language),Swift (parallel scripting language)
SYMPL,/wiki/SYMPL,SYMPL
TACL,/wiki/TACL,TACL
TACPOL,/wiki/TACPOL_(programming_language),TACPOL (programming language)
TADS (Text Adventure Development System),/wiki/TADS,TADS
TAL,/wiki/Transaction_Application_Language,Transaction Application Language
Tcl,/wiki/Tcl,Tcl
Tea,/wiki/Tea_(programming_language),Tea (programming language)
TECO (Text Editor and Corrector),/wiki/Text_Editor_and_Corrector,Text Editor and Corrector
TELCOMP,/wiki/TELCOMP,TELCOMP
TeX,/wiki/TeX,TeX
TEX (Text Executive Programming Language),/wiki/Text_Executive_Programming_Language,Text Executive Programming Language
TIE,/wiki/Tensilica_Instruction_Extension,Tensilica Instruction Extension
TMG (TransMo Griffer),/wiki/TMG_(language),TMG (language)
Tom,/wiki/Tom_(pattern_matching_language),Tom (pattern matching language)
Toi,/wiki/Toi_(programming_language),Toi (programming language)
Topspeed (Clarion),/wiki/Clarion_(programming_language),Clarion (programming language)
TPU (Text Processing Utility),/wiki/Text_Processing_Utility,Text Processing Utility
Trac,/wiki/TRAC_(programming_language),TRAC (programming language)
TTM,/wiki/TTM_(programming_language),TTM (programming language)
T-SQL (Transact-SQL),/wiki/Transact-SQL,Transact-SQL
Transcript (LiveCode),/wiki/Transcript_(programming_language),Transcript (programming language)
TTCN (Tree and Tabular Combined Notation),/wiki/TTCN,TTCN
Turing,/wiki/Turing_(programming_language),Turing (programming language)
TUTOR (PLATO Author Language),/wiki/TUTOR_(programming_language),TUTOR (programming language)
TXL,/wiki/TXL_(programming_language),TXL (programming language)
TypeScript,/wiki/TypeScript,TypeScript
Tynker,/wiki/Tynker,Tynker
Ubercode,/wiki/Ubercode,Ubercode
UCSD Pascal,/wiki/UCSD_Pascal,UCSD Pascal
Umple,/wiki/Umple,Umple
Unicon,/wiki/Unicon_(programming_language),Unicon (programming language)
Uniface,/wiki/Uniface_(programming_language),Uniface (programming language)
UNITY,/wiki/UNITY_(programming_language),UNITY (programming language)
UnrealScript,/wiki/UnrealScript,UnrealScript
Vala,/wiki/Vala_(programming_language),Vala (programming language)
Vim script,/wiki/Vim_(text_editor)#Vim_script,Vim (text editor)
Viper (Ethereum/Ether (ETH)),/wiki/Ethereum#Smart_contracts,Ethereum
Visual DataFlex,/wiki/Visual_DataFlex,Visual DataFlex
Visual DialogScript,/wiki/Visual_DialogScript,Visual DialogScript
Visual FoxPro,/wiki/Visual_FoxPro,Visual FoxPro
Visual J++ (Visual J plus plus),/wiki/Visual_J%2B%2B,Visual J++
Visual LISP,/wiki/AutoLISP,AutoLISP
Visual Objects,/wiki/Visual_Objects,Visual Objects
Visual Prolog,/wiki/Visual_Prolog,Visual Prolog
"WATFIV, WATFOR (WATerloo FORtran IV)",/wiki/WATFIV_(programming_language),WATFIV (programming language)
WebAssembly,/wiki/WebAssembly,WebAssembly
WebDNA,/wiki/WebDNA,WebDNA
Whiley,/wiki/Whiley_(programming_language),Whiley (programming language)
Winbatch,/wiki/Winbatch,Winbatch
Wolfram Language,/wiki/Wolfram_Language,Wolfram Language
Wyvern,/wiki/Wyvern_(programming_language),Wyvern (programming language)
X++ (X plus plus/Microsoft Dynamics AX),/wiki/X%2B%2B,X++
X10,/wiki/X10_(programming_language),X10 (programming language)
xBase++ (xBase plus plus),/wiki/XBase%2B%2B,XBase++
XBL,/wiki/XBL,XBL
XMOS architecture,/wiki/XCore_XS1,XCore XS1
xHarbour,/wiki/XHarbour,XHarbour
Xojo,/wiki/Xojo,Xojo
XOTcl,/wiki/XOTcl,XOTcl
Xod,/wiki/XOD_(programming_language),XOD (programming language)
XPL,/wiki/XPL,XPL
XPL0,/wiki/XPL0,XPL0
XQuery,/wiki/XQuery,XQuery
XSB,/wiki/XSB,XSB
XSharp (X#),/wiki/XSharp,XSharp
XSLT,/wiki/XSLT,XSLT
Xtend,/wiki/Xtend,Xtend
Yorick,/wiki/Yorick_(programming_language),Yorick (programming language)
YQL,/wiki/YQL_(programming_language),YQL (programming language)
Yoix,/wiki/Yoix,Yoix
Z notation,/wiki/Z_notation,Z notation
Z shell,/wiki/Z_shell,Z shell
"Zebra, ZPL, ZPL2",/wiki/Zebra_(programming_language),Zebra (programming language)
Zeno,/wiki/Zeno_(programming_language),Zeno (programming language)
ZetaLisp,/wiki/ZetaLisp,ZetaLisp
Zig,/wiki/Zig_(programming_language),Zig (programming language)
Zonnon,/wiki/Zonnon,Zonnon
ZOPL,/wiki/ZOPL,ZOPL
ZPL,/wiki/ZPL_(programming_language),ZPL (programming language)
Z++,/wiki/Z%2B%2B,Z++
Lists of programming languages,/wiki/Lists_of_programming_languages,Lists of programming languages
List of programming languages by type,/wiki/List_of_programming_languages_by_type,List of programming languages by type
Comparison of programming languages,/wiki/Comparison_of_programming_languages,Comparison of programming languages
List of BASIC dialects by platform,/wiki/List_of_BASIC_dialects_by_platform,List of BASIC dialects by platform
List of markup languages,/wiki/List_of_markup_languages,List of markup languages
List of stylesheet languages,/wiki/List_of_stylesheet_languages,List of stylesheet languages
History of programming languages,/wiki/History_of_programming_languages,History of programming languages
Programming languages,/wiki/Programming_language,Programming language
Comparison,/wiki/Comparison_of_programming_languages,Comparison of programming languages
Timeline,/wiki/Timeline_of_programming_languages,Timeline of programming languages
History,/wiki/History_of_programming_languages,History of programming languages
Ada,/wiki/Ada_(programming_language),Ada (programming language)
ALGOL,/wiki/ALGOL,ALGOL
APL,/wiki/APL_(programming_language),APL (programming language)
Assembly,/wiki/Assembly_language,Assembly language
BASIC,/wiki/BASIC,BASIC
C++,/wiki/C%2B%2B,C++
COBOL,/wiki/COBOL,COBOL
Erlang,/wiki/Erlang_(programming_language),Erlang (programming language)
Forth,/wiki/Forth_(programming_language),Forth (programming language)
Fortran,/wiki/Fortran,Fortran
Haskell,/wiki/Haskell,Haskell
Java,/wiki/Java_(programming_language),Java (programming language)
JavaScript,/wiki/JavaScript,JavaScript
Kotlin,/wiki/Kotlin_(programming_language),Kotlin (programming language)
Lisp,/wiki/Lisp_(programming_language),Lisp (programming language)
Lua,/wiki/Lua_(programming_language),Lua (programming language)
Pascal,/wiki/Pascal_(programming_language),Pascal (programming language)
Perl,/wiki/Perl,Perl
PHP,/wiki/PHP,PHP
Prolog,/wiki/Prolog,Prolog
Python,/wiki/Python_(programming_language),Python (programming language)
Ruby,/wiki/Ruby_(programming_language),Ruby (programming language)
Rust,/wiki/Rust_(programming_language),Rust (programming language)
SQL,/wiki/SQL,SQL
Shell,/wiki/Shell_script,Shell script
Simula,/wiki/Simula,Simula
Smalltalk,/wiki/Smalltalk,Smalltalk
Swift,/wiki/Swift_(programming_language),Swift (programming language)
Categorical,/wiki/List_of_programming_languages_by_type,List of programming languages by type
Generational,/wiki/Generational_list_of_programming_languages,Generational list of programming languages
Non-English-based,/wiki/Non-English-based_programming_languages,Non-English-based programming languages
Article,/wiki/List_of_programming_languages,View the content page [ctrl-option-c]
Read,/wiki/List_of_programming_languages,
Main page,/wiki/Main_Page,Visit the main page [ctrl-option-z]
